Track.Name,Artist,Streams,Track_id,Date,Region,Artist_id
Se Pone Loca,CantoParaBailar,27694,0FVuUna31PTRmWGLs8W1o4,1/1/2017,ar,288dJOiQmxw6pTZ6fqpbiQ
Kiwi,Harry Styles,24294,33SNO8AaciGbNaQFkxvPrW,5/12/2017,ar,6KImCVD70vtIoJWnq6nGn3
Lluvia,Charly García,23403,2n2PrSqZeDQB19NSgO01YP,2/24/2017,ar,3jO7X5KupvwmWTHGtHgcgo
Carolina,Harry Styles,24066,3Dwq1oiOFys6Sxr5SslmXw,5/12/2017,ar,6KImCVD70vtIoJWnq6nGn3
Otro,Charly García,23366,7eFJEG6vPVRfvEB8QqKuKx,2/24/2017,ar,3jO7X5KupvwmWTHGtHgcgo
Only Angel,Harry Styles,23847,5Lbsc65org0b85kNsPkluY,5/12/2017,ar,6KImCVD70vtIoJWnq6nGn3
Pájaro Cantor,Abel Pintos,25525,16rQTTMtbn0ODLyflr0O6Q,1/1/2017,ar,6HTUcOExehqydqa7C3usAa
En Remolinos (SEP7IMO DIA),Soda Stereo,22997,3edjkiAggwnau6qjUVbIMh,3/10/2017,ar,7An4yvF7hDYDolN4m5zKBp
Si Te Vas,Agapornis,24819,3HoTiqEEY2SmTeq1XGINo3,1/1/2017,ar,27Yc5RzJf27tJfqezJnHY1
Show Me How to Live,Audioslave,20966,21tuvt3CXIsNquc32v8jpc,5/18/2017,ar,2ziB7fzrXBoh1HUPS6sVFn
Enamorado de Ti,La Nueva Luna,32024,0Ir7G0Xba6PIDUBKObagNA,12/24/2017,ar,6pVmT18pd1QaofDegZUEKX
Love Me Down Easy,Oriana,19429,1RrLC61fYtdg4Umkwfn1bh,4/14/2017,ar,25Q4MN2O9yy7qzIY6HTgO3
Papi Shampu,De La Calle,24369,0o221VNm4azkzYYLtxDGgV,1/1/2017,ar,5YrBL6QmqRYTvr52b0IOT3
Woman,Harry Styles,21687,33bURv895AN4FkBvgFo2dx,5/12/2017,ar,6KImCVD70vtIoJWnq6nGn3
Luna LLena,Paulo,23410,552FgBxuh4rltfhgk7yNZg,11/14/2017,ar,2pmee4agt5Yr8nC4kykumi
Dale Tu Amor,Agapornis,24345,3W9HjL7lmbYXL4kQ1kicH3,1/1/2017,ar,27Yc5RzJf27tJfqezJnHY1
Dorado,Ecko,22152,3J4cbpVuuo8sdLWcEajRA3,12/17/2017,ar,2Jb9jVnCpWkXtoGznFJ6bF
Persiana Americana (SEP7IMO DIA),Soda Stereo,22182,09OiYtiWY76FsodXCJ9Ym9,3/10/2017,ar,7An4yvF7hDYDolN4m5zKBp
Ya No Hay Nadie Que Nos Pare,TINI,20323,6c9eHvNPci0RsK8Er0QI6v,1/4/2017,ar,7vXDAI8JwjW531ouMGbfcp
Amor para un Rato,Olvidate!,27003,3j1o2GHPuRUoXC5KkiE6oU,12/22/2017,ar,7Czvx73uua4PB239Dza1Je
Ever Since New York,Harry Styles,20783,5LABCxgmP7DATATIJXOh6n,5/12/2017,ar,6KImCVD70vtIoJWnq6nGn3
Márchate ahora,Los Totora,24133,3voxukrHBXctzxdSbCycey,1/1/2017,ar,6Cv7YpJ01y71mdgm4szmU2
Bronceado,Marama,24077,4smbzhaRt7EYwO73SmFXyR,1/1/2017,ar,4GepMkTgrIZECoCC55vqjW
Te Vas - Version Cumbia,aLee DJ,23981,0j8zA8KrITjLVoAm3H3X6u,1/1/2017,ar,1Q257Q8HvFsbM8ZCyoQbC6
Miss You,Louis Tomlinson,25293,3zxrecYFao03IrrcyFiaMU,12/1/2017,ar,57WHJIHrjOE3iAxpihhMnp
Signos (SEP7IMO DIA),Soda Stereo,21486,02Io6R1p3g7HXae5QoOtxo,3/10/2017,ar,7An4yvF7hDYDolN4m5zKBp
Una Na,Lali,23306,2LqIRA261mwY69KVA7Lw6L,7/28/2017,ar,22P1OY4TRFRwhP0q29loQ8
Amigos de Dios,Charly García,21172,5ilKoWnPiMGkhRKhY0Z6fV,2/24/2017,ar,3jO7X5KupvwmWTHGtHgcgo
Fuiste,Gilda,23090,3jxP1S0xXvPBry3scDZj6h,1/1/2017,ar,6Q6qTNC2rAegcR5QjzcRgE
No Me Arrepiento de Este Amor,Gilda,23046,6Bj9aK0jTMmjUp1y4Z7SVz,1/1/2017,ar,6Q6qTNC2rAegcR5QjzcRgE
Planeador (SEP7IMO DIA),Soda Stereo,20828,45utWFSZB3s3IZWdx4UHuc,3/10/2017,ar,7An4yvF7hDYDolN4m5zKBp
Un Millón de Años Luz (SEP7IMO DIA),Soda Stereo,20739,1xfLMIPxxnRrAUkJKZxPD6,3/10/2017,ar,7An4yvF7hDYDolN4m5zKBp
La Máquina de Ser Feliz,Charly García,17609,52qq2T7uXlpI7Kfb4otWNk,2/6/2017,ar,3jO7X5KupvwmWTHGtHgcgo
Si Te Dejas Llevar (feat. Juanka),Ozuna,22878,7rDi4fIeHSM3KAUYAKYMMN,1/1/2017,ar,NA
Sola Otra Vez,El Polaco,22560,1zwH02KhFWC4wOtiZ1We1g,1/1/2017,ar,3ucYybVr1mTuB04HtoBDCc
From the Dining Table,Harry Styles,19740,1IF5UcqRO42D12vYwceOY6,5/12/2017,ar,6KImCVD70vtIoJWnq6nGn3
Believe,Charly García,20842,0zTGCdMONzCEzG6Sqx4lgt,2/24/2017,ar,3jO7X5KupvwmWTHGtHgcgo
La Disco La Parte En Dos,aLee DJ,16208,631PNbDV1ukHlwIosdPR30,5/1/2017,ar,1Q257Q8HvFsbM8ZCyoQbC6
Te Amo y Odio,Marama,22073,5TA9pPL5ATRFcyI9rRBMQ0,1/1/2017,ar,4GepMkTgrIZECoCC55vqjW
Te Vas a Arrepentir,La Nueva Luna,28331,5Rb1YFwlxt1AgMaqbOpZzf,12/24/2017,ar,6pVmT18pd1QaofDegZUEKX
Algo Tiene,Natalie Perez,19923,5HMLzZJYj3gRo2ulIBSC5d,12/17/2017,ar,1Y99HOeRzRc27my6NJE3rE
Hello Cotto,Duki,20016,1tkikMrqW4NvmzIfIyNXw7,9/28/2017,ar,1bAftSH8umNcGZ0uyV7LMg
743,Miranda!,21584,08WLghN4UZFMGN532uvako,1/1/2017,ar,2eEmsgWmUFMbtU7agJpnjY
Dame la Mano,Los Bonnitos,21405,2zrcunkMh2pG74NKLQagf7,1/1/2017,ar,7d1kmnhwauydKmuAvjgQrH
Una historia,#TocoParaVos,21108,6Ol4gn2vFyn4dckha1fGaN,1/1/2017,ar,4PdggFNYwGfjRfkdG5OfES
Spector,Charly García,19509,62oTd25XqwmcLDTnmvxNUF,2/24/2017,ar,3jO7X5KupvwmWTHGtHgcgo
La Llave,Agapornis,20952,1v78qANb9b176fgEzR2eaW,1/1/2017,ar,27Yc5RzJf27tJfqezJnHY1
Como Tú,Luciano Pereyra,21281,7IwNPHjpZMkggv0qlh1rUO,9/22/2017,ar,6ZZ2DeepA3GpoGU4KwqSlU
Me Estoy Enamorando,Agapornis,20900,0mX14Kpe4VTYmkqRgGslT5,1/1/2017,ar,27Yc5RzJf27tJfqezJnHY1
Ella,Agapornis,20643,6LxbbZYulsV3tCZvKpJgSh,1/1/2017,ar,27Yc5RzJf27tJfqezJnHY1
Make It Right,Foo Fighters,20890,33OVwHAdsrJELptAp74TqW,9/15/2017,ar,7jy3rLJdDQY21OgRLCZ9sD
Be Yourself,Audioslave,15916,7r9ZTgy31yObGZE6ZYDlQg,5/18/2017,ar,2ziB7fzrXBoh1HUPS6sVFn
Crimen,Gustavo Cerati,16125,3oqWr0jDWNXxWufNogGREp,1/2/2017,ar,1QOmebWGB6FdFtW7Bo3F0W
Yo Tomo Licor,Amar Azul,19889,5EHRc2WJASyZg3alJqsbqU,1/1/2017,ar,NA
Malibu,Miley Cyrus,20765,1UZOjK1BwmwWU14Erba9CZ,9/29/2017,ar,5YGY8feqx7naU7z4HrwZM6
Intro Luna Roja (SEP7IMO DIA),Soda Stereo,18567,0YTM2rY4IAExNO5oH64xKR,3/10/2017,ar,7An4yvF7hDYDolN4m5zKBp
Hoy,Agapornis,19864,11aJTEmPwKKoKRTpsudE1H,1/1/2017,ar,27Yc5RzJf27tJfqezJnHY1
Cuando Pase el Temblor (SEP7IMO DIA),Soda Stereo,18534,6WtvylZrf7yrWowHsmf92l,3/10/2017,ar,7An4yvF7hDYDolN4m5zKBp
Tamo Activo,Los Turros,16473,3bdZxtSur7qHEfqIofeh5w,6/3/2017,ar,6QVEWdYtBkaJcboEtH5FeB
No Te Vayas,Marama,19753,6lip7aGS7oXloGk1XFCqWH,1/1/2017,ar,4GepMkTgrIZECoCC55vqjW
Prendido Fuego,No Te Va Gustar,14591,6ywppvpjTRk8GaBwoPueZu,6/5/2017,ar,4ZDoy7AWNgQVmX7T0u0B1j
Luna Roja (SEP7IMO DIA),Soda Stereo,18341,1wsDi2GVqi42m0meazoeNg,3/10/2017,ar,7An4yvF7hDYDolN4m5zKBp
Mundo B,Charly García,18488,5uTio0a7NcuYPPWIHnueNU,2/24/2017,ar,3jO7X5KupvwmWTHGtHgcgo
Un Beso,Danny Paz,19697,0mDYDLR1KToBR4plxAj4O4,1/1/2017,ar,0JMR248CSpmfp3eoi93iGC
Si Te Lastime,Seven Kayne,20036,7k09lnI8FXcEREvDps6oPJ,12/12/2017,ar,4C29ETLBPmYKYwtJUepbJz
Hoy Acá en el Baile (Cara de Gitana) - Versión el Pepo,El Pepo,19577,74onbSJ49kgKFGrwUwY9oC,1/1/2017,ar,2zCQFd804DNH07QAI3xa25
El Lavarropa,Gonzo Vizán,15973,5iOz59b6B51cmVxa6NxTux,2/8/2017,ar,1ICgDzSQ3waGaaFpkPt2qB
Enganchado Santafecino,Los Palmeras,27298,5I7jv3YVvaWIdsWgJdBEZ5,12/25/2017,ar,2Htm0q72SjGSmsy8EOIhRG
Cochise,Audioslave,15539,4OCzAGgyWsUKpdWufYywZm,5/18/2017,ar,2ziB7fzrXBoh1HUPS6sVFn
Ocho Cuarenta,Rodrigo,19319,6jDx3MNG0yJdrvEBZohKBE,1/1/2017,ar,235Vf4hkmwvxjVEMuCbRxm
El Taxi,Pitbull,19272,501PoxE6Qti2ekECimQeXK,1/1/2017,ar,0TnOYISbd1XYRBk9myaseg
En la Ciudad de la Furia (SEP7IMO DIA),Soda Stereo,17959,4jwKmJZHwg6ntWwkm9olTz,3/10/2017,ar,7An4yvF7hDYDolN4m5zKBp
Reptilia,The Strokes,16236,2hmibAtdObO8F4tnhLENuQ,4/1/2017,ar,0epOFNiUfyON9EYx7Tpr6V
I Am the Highway,Audioslave,15253,4Im33JWLEobPtMTTAw7GUF,5/18/2017,ar,2ziB7fzrXBoh1HUPS6sVFn
Que Bonito,Banda XXI,19093,3XmpHN0jwCV1unk8ygs1Ku,1/1/2017,ar,4She1focTkX0pwpJUtS5eo
Vida Tranquila,Julián Serrano,17270,3gM8KetN3T4mQE4AO2vAHD,1/18/2017,ar,NA
Tu Arreglapenas,La Reserva,16381,01M85JZm3JMyHrWzvkfO5X,1/19/2017,ar,0rWuEmTI7yoSjjN6TT1Pkg
Otra Vez,Felix Gabriel,15527,4kdpq7Ez7T2cn75Jem2PEv,2/1/2017,ar,6itC0EKBvbMUrdjXPwYVHr
Love My Life,Robbie Williams,15153,1YW369EbVyjpeLE3YbsjKQ,1/4/2017,ar,2HcwFjNelS49kFbfvMxQYw
El Bombón,Los Palmeras,18741,68drjp77R32xEkzP1vxlF6,1/1/2017,ar,2Htm0q72SjGSmsy8EOIhRG
El Equivocado,Mano Arriba,16233,5vy1C7DD9xJ5fRB3KqV6Kq,1/19/2017,ar,4YBAOrBF9vBB9inOLtpRzp
Todo Comienza en la Disco,Wisin,19162,5P45FGGEl99tHmKx6RaP9C,11/24/2017,ar,3E6xrwgnVfYCrCs0ePERDz
Crema de Estrellas (SEP7IMO DIA),Soda Stereo,17690,2RZxjJ2Bx3IJjtrsWFFHRH,3/10/2017,ar,7An4yvF7hDYDolN4m5zKBp
Cuando Me Enamoro,Banda XXI,18527,7IUFDlflcQjHNxg8H0us34,1/1/2017,ar,4She1focTkX0pwpJUtS5eo
Flight 956,Indio Solari y los Fundamentalistas del Aire Acondicionado,14312,5AOOf1MoFJPTJyinMqjhu6,3/13/2017,ar,0nUGkxUncFeXt0Dr0hhrc4
Hombre al Agua (SEP7IMO DIA),Soda Stereo,17668,0oqZnZRnOO2VWi1D1XCbT0,3/10/2017,ar,7An4yvF7hDYDolN4m5zKBp
Last Nite,The Strokes,13566,7kzKAuUzOITUauHAhoMoxA,4/3/2017,ar,0epOFNiUfyON9EYx7Tpr6V
Soy Cordobes,Rodrigo,18428,5wG4J1UECH0c42YhMhSkcS,1/1/2017,ar,235Vf4hkmwvxjVEMuCbRxm
Linda,Marka Akme,18284,5L4iwTXzuuWcV0m0sEDrgj,1/1/2017,ar,4SgKWjM7cJDCh2aY9H4HZf
Adicto A Ti,Walter Olmos,24445,0Ldh6OMRNPUAkDazVwnKWP,12/25/2017,ar,68mkWeq03e98dvIEI0jr0N
Nunca me Faltes,Antonio Rios,18253,3YCcsuRdJArE4rsAG5V3sW,1/1/2017,ar,7s652lD4v77szrPEfgMTBi
El Tesoro,El Mato A Un Policia Motorizado,13626,6eiNg8p7GYO7x0GXM4zplv,4/24/2017,ar,5rLsN2LxYaEPLa1N7I2mPB
Pull-Up,Jason Derulo,15162,1SYqEFrLotYNBTJbNXKEa5,1/5/2017,ar,07YZf4WDAMNwqr4jfgOZ8y
Para Cuando Me Muera,No Te Va Gustar,13493,7zpDy3s9gMgAS7e0cYjLpx,6/5/2017,ar,4ZDoy7AWNgQVmX7T0u0B1j
Mentirosa,Rafaga,24338,2e3fohSwZ9nU6Q2tks0fFz,12/25/2017,ar,0CBKUzrf6yGdTgxAQbUUHS
Segundas Intenciones,Rombai,18247,1y2jGfgALBBNZL6tXPI2Ke,1/1/2017,ar,5KQX0Ui06LVm6PApyicRFK
Sueles Dejarme Solo (SEP7IMO DIA),Soda Stereo,17106,0FoQu6F6IsBvNovgPYn0xL,3/10/2017,ar,7An4yvF7hDYDolN4m5zKBp
Aire,Axel,17512,1qWKjtVh1vWuzG6s3CyOPV,8/25/2017,ar,32x1uogH2zajP85pzZAtuE
Creo,Callejeros,14270,5Bi9Cq5oVFy1OtUgecbegZ,1/2/2017,ar,2osoVujXgV0PA8lhqDKYFw
La Ventanita,Grupo Sombras,18237,2dfnK7rHRibkQR93iZn7Z2,1/1/2017,ar,2t5LZnlhZW4ctjLQE9qoae
La vida rosa,Angela Torres,14687,6S7CT8xrkOpDOXC4xjdhXt,1/26/2017,ar,6LZA6PhNCwUfHzqfpN1nYL
A Sky Full of Stars,Coldplay,17709,0FDzzruyVECATHXKHFs9eJ,11/15/2017,ar,4gzpq5DPGxSnKTe4SA8HAU
Chica Real,El Villano,18209,0KrNNpgu7qGQPNQAQBLGwX,1/1/2017,ar,6nEgkeR03q2qtKZmrVq100
Viva La Vida,Coldplay,17658,1mea3bSkSGXuIRvnydlB5b,11/15/2017,ar,4gzpq5DPGxSnKTe4SA8HAU
Deja Vu,Gustavo Cerati,17211,4suom7B7d6DQa2YTPBT1lv,8/11/2017,ar,1QOmebWGB6FdFtW7Bo3F0W
Rompecabezas de Amor,Las Pastillas del Abuelo,13701,6qs5C2MEAHfF2jUdEzpWut,1/2/2017,ar,0D5U7oXEE4dut2DPyUDLca
Besarte,Rombai,16777,6Ar0Rcqv4AMonCshpAIheB,7/14/2017,ar,5KQX0Ui06LVm6PApyicRFK
Puente,Gustavo Cerati,13689,6gwaa6ElIixNTvu6RwkMyo,1/2/2017,ar,1QOmebWGB6FdFtW7Bo3F0W
Olvídala,Banda XXI,17636,1cJNFxiyjh8Ooqg5U4752G,1/1/2017,ar,4She1focTkX0pwpJUtS5eo
Déjà Vu,Katy Perry,14839,5q9stUg2W38X9PyzgIOdhH,6/9/2017,ar,6jJ0s89eD6GaHleKKya26X
La Cumbita,Tambó Tambó,17626,4De1d3fqH4Pnb6K20sRVBa,1/1/2017,ar,6wAk3K9nxqR0pTLGLctzQu
Mata,Marka Akme,13862,6h8rrNrOCdBbz37IhcvApT,1/4/2017,ar,4SgKWjM7cJDCh2aY9H4HZf
Motivos (En Vivo),Abel Pintos,14019,5wqbrRK8dhrW1rByRnQ1V2,7/3/2017,ar,6HTUcOExehqydqa7C3usAa
Y el Mundo Me Comió a Mí,No Te Va Gustar,13355,6As0g0aBOtE30CcieMKjtd,6/5/2017,ar,4ZDoy7AWNgQVmX7T0u0B1j
Run,Foo Fighters,18056,1wLQwg0mloy3yXjL0jPE0N,9/15/2017,ar,7jy3rLJdDQY21OgRLCZ9sD
No Me Olvides,La Beriso,17000,7LDUiraavMZ6mb8hK3mXkj,1/1/2017,ar,0Dy32zfSrQ332Bz8wsthKJ
Enganchado #TocoParaVos - Cumbia Mix,#TocoParaVos,14864,7zW4IqrzU6dTLw3CM72Qbo,1/7/2017,ar,4PdggFNYwGfjRfkdG5OfES
Adios,Rombai,16874,6cwrN0Go9VBDFj4n7riKPU,1/1/2017,ar,5KQX0Ui06LVm6PApyicRFK
Acá Estoy,El Reja,16865,5LRSzLW5nw0j1tglHlNOHp,1/1/2017,ar,7HSeegdmjLYRJpkOYIaZIW
Olvídala,Los Palmeras,22818,0cXGtTRfQKSHojilCoBAOd,12/25/2017,ar,2Htm0q72SjGSmsy8EOIhRG
Insegura,VAS,15139,2jahKqF76dRFDwCqd6FzS7,1/21/2017,ar,4pk1XgKNE0PrjyObNnhgWO
Enter Sandman,Metallica,14217,1bdXMstfxFWYSkEFTnJMoN,3/31/2017,ar,2ye2Wgw4gimLv2eAKyk1NB
Just Like You,Louis Tomlinson,16020,5IF6IBPqbclVR7SQKmCIyA,10/12/2017,ar,57WHJIHrjOE3iAxpihhMnp
Quedate Conmigo,Marka Akme,14644,0Me4USNMue57mtUkMEdPTr,1/7/2017,ar,4SgKWjM7cJDCh2aY9H4HZf
Amores Como el Nuestro,Los Charros,16760,6z6aUQtuqZzq2tbyVwHO6n,1/1/2017,ar,1poWksyUHxANlcdBLPhsV9
Wolves,Selena Gomez,16528,0tBbt8CrmxbjRP0pueQkyU,10/25/2017,ar,0C8ZW7ezQVs4URX5aX7Kqx
Soy,Ulises Bueno,22629,37Zjm314NQVXqID6ju970m,12/25/2017,ar,2UqRkW2wfEkZmyvKyTTv2W
