Artist,Artist_Genres
Carmon,danish hip hop
Karl William,danish pop
Lady Antebellum,contemporary country
Louis Samson,danish electro-pop
Michael Learns To Rock,boy band
Molo,danish hip hop
Starley,aussietronica
Benal,danish hip hop
Drengene Fra Angora,classic danish pop
Kim Larsen,classic danish pop
Stine Bramsen,danish pop
Darleens,
Jamaika,danish hip hop
Karl William,danish pop
Søs Fenger,classic danish pop
Anthony,
Blak,danish hip hop
FOOL,danish pop
Benal,danish hip hop
Brandon Beal,danish pop
Fætr,danish hip hop
Tim Christensen,classic danish pop
Tore Bojsten,indie cafe pop
Bjørnskov,danish pop
Carpark North,danish pop
De Danske Hyrder,danish hip hop
Hjalmer,danish pop
Jamie Cullum,adult standards
NOAH,danish pop
Specktors,danish hip hop
BasedBoys,danish hip hop
Benal,danish hip hop
Burhan G,classic danish pop
De Danske Hyrder,danish hip hop
Juice,
Le Mo,
Pede B,danish hip hop
RoseGold,
Ukendt Kunstner,danish hip hop
Alex Vargas,danish pop
Bar Z,danish hip hop
Burhan G,classic danish pop
Caroline Castell,
Guldpige,danish pop
LIGA,danish pop
Nissebanden,classic danish pop
Clean Bandit,dance pop
Daecolm,
Ham VolKan,danish hip hop
Kim Larsen,classic danish pop
Rasmus Seebach,classic danish pop
Sam Feldt,dance pop
Calling Mercury,
Gilli,danish hip hop
MAIA,
TopGunn,danish hip hop
Hemlig Elsker,
Jimmy Jørgensen,danish pop rock
Otto Brandenburg,classic danish pop
Rocazino,bubblegum dance
BasedBoys,danish hip hop
Daniel Schulz,
Jordan Smith,ccm
NOAH,danish pop
Scarlet Pleasure,danish pop
Caroline Henderson,classic danish pop
Citybois,danish hip hop
Lukas Graham,danish pop
Otto Brandenburg,classic danish pop
Suspekt,danish hip hop
Christopher,danish pop
Ham VolKan,danish hip hop
Kylie Minogue,australian dance
Lukas Graham,danish pop
Marvelous Mosell,
Sir Duke,
Tiril,
ICEKIID,danish hip hop
Kongsted,danish hip hop
Søs Fenger,classic danish pop
Scouting For Girls,neo mellow
Andreas Weise,swedish folk pop
John Mayer,neo mellow
Mc Einar,danish hip hop
Rasmus Seebach,classic danish pop
Specktors,danish hip hop
Blak,danish hip hop
De Danske Hyrder,danish hip hop
Djämes Braun,danish hip hop
Jamaika,danish hip hop
Oskar,
Pete Mello,
Iyaz,dance pop
Justin Bieber,canadian pop
Me & My,bubblegum dance
Sleiman,danish hip hop
Zara Larsson,dance pop
El Alfa,dembow
El Alfa,dembow
El Alfa,dembow
Lapiz Conciente,rap dominicano
Arcangel,latin
El Alfa,dembow
El Alfa,dembow
Romeo Santos,bachata
El Alfa,dembow
Romeo Santos,bachata
El Alfa,dembow
Romeo Santos,bachata
Romeo Santos,bachata
DJ Tetraguy,rap dominicano
El Alfa,dembow
Lenny Tavárez,reggaeton flow
Romeo Santos,bachata
Romeo Santos,bachata
El Alfa,dembow
DJ Nelson,latin
Lenny Tavárez,reggaeton flow
Romeo Santos,bachata
El Nene La amenaza,rap dominicano
Romeo Santos,bachata
Romeo Santos,bachata
Romeo Santos,bachata
El Nene La amenaza,rap dominicano
Romeo Santos,bachata
Chimbala,dembow
Bulin 47,dembow
Romeo Santos,bachata
Lirico En La Casa,dembow
Romeo Santos,bachata
Vicente Garcia,bachata
Musicologo The Libro,dembow
Goldy Boy,
Romeo Santos,bachata
Techy Fatule,
Vicente Garcia,bachata
Bulin 47,dembow
Bulin 47,dembow
Covi Quintana,dominican pop
Ceky Viciny,dembow
El Alfa,dembow
Riccie Oriach,dominican pop
Amenazzy,rap dominicano
Liro Shaq,dembow
Rasputin,
El Nene La amenaza,rap dominicano
Anuel Aa,reggaeton flow
El Alfa,dembow
Fuego,latin
Vicente Garcia,bachata
El Nene La amenaza,rap dominicano
"Héctor Acosta ""El Torito""",bachata
Zacaria Ferreira,
DJ Tetraguy,rap dominicano
Vicente Garcia,bachata
Bonny Cepeda,latin
Vicente Garcia,bachata
Conjunto Quisqueya,
Vicente Garcia,bachata
Fernando Villalona,latin
Chiquito Team Band,salsa
Esteban Copete y su Kinteto Pacifico,NA
El Alfa,dembow
Johnny Ventura,latin
Mark B.,dembow
Vicente Garcia,bachata
Don Miguelo,dembow
Fernando Villalona,latin
Milly Quezada,latin
DJ Tetraguy,rap dominicano
Fernando Villalona,latin
Raquel Arias,merengue tipico
Conjunto Quisqueya,
Farruko,latin
Bonny Cepeda,latin
Quimico Ultra Mega,dembow
Bad Bunny,reggaeton
DJ Tetraguy,rap dominicano
DJ Tetraguy,rap dominicano
El Alfa,dembow
Riccie Oriach,dominican pop
El Alfa,dembow
Techy Fatule,
Johnny Ventura,latin
Arcangel,latin
Bad Bunny,reggaeton
Shadow Blow,dembow
"Tito ""El Bambino""",latin
Ozuna,reggaeton
Bryant Myers,latin
Gabriel,
Goldy Boy,
Bryant Myers,latin
El Alfa,dembow
Toño Rosario,latin
Bad Bunny,reggaeton
Bad Bunny,reggaeton
Jochy Santos,
Vicente Garcia,bachata
Shelow Shaq,dembow
Bonny Cepeda,latin
La Insuperable,dembow
Milly Quezada,latin
la Pandilla Rd,
Goldy Boy,
Salim,
Techy Fatule,
Vicente Garcia,bachata
Chimbala,dembow
El Nene la Amenazzy,
Víctor Manuelle,latin
Liro Shaq el Sofoke,dembow
Milly y Los Vecinos,
Justin Quiles,latin
El Nene La amenaza,rap dominicano
Ozuna,reggaeton
El Nene La amenaza,rap dominicano
Kinito Mendez y Johnny Ventura,
El Alfa,dembow
El Alfa,dembow
Pamel,dominican pop
El Batallon,dembow
Anuel Aa,reggaeton flow
Conjunto Quisqueya,
Lirico En La Casa,dembow
Lenny Tavárez,reggaeton flow
Lenny Tavárez,reggaeton flow
Liro Shaq el Sofoke,dembow
Lr Ley Del Rap,rap dominicano
Lirico En La Casa,dembow
Riccie Oriach,dominican pop
El Alfa,dembow
Toxic Crow,dembow
El Nene La amenaza,rap dominicano
Mark B.,dembow
Noriel,latin
Quimico Ultra Mega,dembow
Tali,
Noriel,latin
Lr Ley Del Rap,rap dominicano
DJ Tetraguy,rap dominicano
Jossie Esteban,merengue
Ceky Viciny,dembow
Danay Suárez,cuban alternative
Pepe Quintana,latin
Zacarias Ferreira,bachata
Zacarias Ferreira,bachata
El Alfa,dembow
Yiyo Sarante,latin
Bonny Cepeda,latin
Riccie Oriach,dominican pop
Liro Shaq,dembow
Various Artists,
Farruko,latin
Vicente Garcia,bachata
Liro Shaq el Sofoke,dembow
Los Toros Band,latin
Dj Kass,chilean hardcore
Flow Mafia,rap dominicano
Johnny Ventura y su Combo,
Liro Shaq el Sofoke,dembow
Don Miguelo,dembow
Musicologo The Libro,dembow
Yiyo Sarante,latin
Conjunto Quisqueya,
Lenny Tavárez,reggaeton flow
Lo Blanquito,
Cardi B,pop
Shelow Shaq,dembow
El Nene la Amenazzy,
Liro Shaq,dembow
Michel el Buenón,salsa
Lenny Tavárez,reggaeton flow
Toño Rosario,latin
Liro Shaq,dembow
Alex Bueno,bachata
Ozuna,reggaeton
Los Hermanos Rosario,latin
Sergio Vargas,latin
David Kada,salsa
Luis Ovalle,
RMT,
CNCO,boy band
Luis Fonsi,dance pop
Natti Natasha,latin
Shakira,colombian pop
Carlos Vives,champeta
Zion & Lennox,latin
Ricky Martin,dance pop
,
J Balvin,latin
Carlos Vives,champeta
Danny Ocean,latin
IAmChino,cubaton
Chino & Nacho,dance pop
J Balvin,latin
Sebastian Yatra,colombian pop
Daddy Yankee,latin
Wisin,dance pop
J Balvin,latin
Ozuna,reggaeton
DJ Snake,dance pop
Wolfine,colombian pop
Enrique Iglesias,dance pop
Farruko,latin
Maluma,reggaeton
Ozuna,reggaeton
Drake,canadian hip hop
The Chainsmokers,edm
The Weeknd,canadian contemporary r&b
Shakira,colombian pop
Thalía,dance pop
Ed Sheeran,pop
Farruko,latin
Maroon 5,pop
Gente De Zona,cubaton
Wisin,NA
Bruno Mars,NA
Luis Fonsi,NA
Piso 21,NA
Taylor Swift,NA
Maluma,NA
Calvin Harris,NA
Luis Fonsi,dance pop
Charly Black,dancehall
Juan Magán,dance pop
,
Charly Black,dancehall
Charlie Puth,dance pop
Romeo Santos,bachata
Taylor Swift,dance pop
Cali Y El Dandee,champeta
Ed Sheeran,pop
J Balvin,latin
Justin Timberlake,dance pop
Maluma,reggaeton
Justin Bieber,canadian pop
Sebastian Yatra,colombian pop
Shakira,colombian pop
Xantos,
Mike Posner,dance pop
J Balvin,latin
Nicky Jam,latin
Major Lazer,dance pop
J Balvin,latin
Amenazzy,rap dominicano
Reik,latin
Martin Garrix,big room
Nacho,dance pop
The Chainsmokers,edm
Cali Y El Dandee,champeta
Karol G,reggaeton
Maroon 5,pop
Sia,NA
Enrique Iglesias,dance pop
Juanes,colombian pop
Carlos Vives,champeta
CNCO,boy band
Clean Bandit,dance pop
David Guetta,dance pop
Shawn Mendes,canadian pop
The Chainsmokers,edm
Cabas,colombian pop
Camila Cabello,dance pop
Carlos Vives,champeta
Ozuna,reggaeton
Ozuna,reggaeton
Don Omar,latin
Maroon 5,pop
Maroon 5,pop
Maroon 5,pop
Miley Cyrus,dance pop
Twenty One Pilots,pop punk
Jacob Forever,cubaton
Maluma,reggaeton
Selena Gomez,dance pop
Yandel,latin
Carlos Vives,champeta
CNCO,boy band
Farruko,latin
Manuel Turizo,colombian pop
Ozuna,reggaeton
Alejandro Sanz,cantautor
Bad Bunny,reggaeton
Harry Styles,dance pop
J Balvin,latin
Katy Perry,dance pop
Ariana Grande,dance pop
Nicky Jam,latin
Ozuna,reggaeton
Cosculluela,latin
Kevin Roldan,latin
Ozuna,reggaeton
,
J Balvin,latin
Martin Garrix,big room
Morat,colombian pop
The Weeknd,canadian contemporary r&b
J Balvin,latin
CNCO,boy band
Ed Sheeran,pop
Maluma,reggaeton
Rihanna,dance pop
DNCE,dance pop
Karol G,reggaeton
Shakira,colombian pop
CNCO,boy band
Joey Montana,dance pop
Major Lazer,dance pop
Maroon 5,pop
Calvin Harris,edm
Justin Bieber,canadian pop
Pablo Alborán,latin
Sam Smith,pop
,
Bad Bunny,reggaeton
Enrique Iglesias,dance pop
Klasico,reggaeton flow
Romeo Santos,bachata
Sam Smith,pop
Juan Magán,dance pop
Nicky Jam,latin
Ozuna,reggaeton
Maluma,reggaeton
DJ Khaled,dance pop
Post Malone,pop
Sebastian Yatra,colombian pop
CNCO,boy band
Katy Perry,dance pop
Natti Natasha,latin
Nicky Jam,latin
Pitbull,dance pop
Yandel,latin
Drake,canadian hip hop
Louis Tomlinson,dance pop
Twenty One Pilots,pop punk
Imagine Dragons,modern rock
Justin Bieber,canadian pop
The Weeknd,canadian contemporary r&b
Yandel,latin
Drake,canadian hip hop
Ed Sheeran,pop
Silvestre Dangond,colombian pop
Chino & Nacho,dance pop
Demi Lovato,dance pop
Liam Payne,dance pop
Major Lazer,dance pop
Marc Anthony,latin
Sam Smith,pop
Alan Walker,tropical house
Gorillaz,alternative hip hop
Fifth Harmony,dance pop
J Balvin,latin
Maluma,reggaeton
Sebastian Yatra,colombian pop
Twenty One Pilots,pop punk
Maná,latin
Selena Gomez,dance pop
CNCO,boy band
Harry Styles,dance pop
Linkin Park,alternative metal
Cosculluela,latin
La Máquina Camaleón,ecuadoria
Ed Sheeran,pop
Jonas Blue,dance pop
Los Cantaseries,villancicos
Coldplay,permanent wave
Felipe Peláez,colombian pop
Piso 21,colombian pop
Piso 21,colombian pop
BTS,k-pop
Reykon,latin
Demi Lovato,dance pop
Ed Sheeran,pop
Marama,cumbia pop
Selena Gomez,dance pop
Burak Yeter,electro house
Carlos Vives,champeta
The Chainsmokers,edm
Juanes,colombian pop
Karol G,reggaeton
Katy Perry,dance pop
Ricky Martin,dance pop
De La Ghetto,latin
Karol G,reggaeton
Morat,colombian pop
Wisin,dance pop
Calvin Harris,edm
Jonas Blue,dance pop
Luis Miguel,bolero
Maluma,reggaeton
,
Rombai,cumbia pop
Kygo,edm
La Máquina Camaleón,ecuadoria
Sebastian Yatra,colombian pop
Zion & Lennox,latin
Ed Sheeran,pop
Sak Noel & Salvi,
Carlos Vives,champeta
Daddy Yankee,latin
Danny Ocean,latin
Jonas Blue,dance pop
Lorde,art pop
Wisin,dance pop
Anuel Aa,reggaeton flow
Audioslave,alternative metal
Juanes,colombian pop
Shawn Mendes,canadian pop
Starley,aussietronica
Taylor Swift,dance pop
ZAYN,dance pop
Zedd,complextro
Carlos Vives,champeta
Rosana,cantautor
Wisin,dance pop
BTS,k-pop
Linkin Park,alternative metal
Ozuna,reggaeton
La Máquina Camaleón,ecuadoria
Marc Anthony,latin
Martin Garrix,big room
Nicky Jam,latin
The Chainsmokers,edm
Jennifer Lopez,dance pop
Kygo,edm
La Máquina Camaleón,ecuadoria
Nacho,latin
Piso 21,colombian pop
Wham!,dance rock
Pitbull,dance pop
Jennifer Lopez,dance pop
Ricardo Arjona,cantautor
Sanluis,pop reggaeton
Alejandro Fernandez,grupera
Demi Lovato,dance pop
Ed Sheeran,pop
Feid,panamanian pop
Anitta,baile pop
Bobby Helms,adult standards
Camila Cabello,dance pop
Ricardo Arjona,cantautor
Sia,NA
Juan Magán,dance pop
Michael Bublé,adult standards
Steve Aoki,big room
Charlie Puth,dance pop
Demi Lovato,dance pop
Ed Sheeran,pop
Liam Payne,dance pop
Ed Sheeran,pop
Jencarlos,latin
Martin Garrix,big room
Yandel,latin
De La Ghetto,latin
Maluma,reggaeton
Parchis,musica para ninos
Chino & Nacho,dance pop
Ed Sheeran,pop
Juanes,colombian pop
Justin Bieber,canadian pop
Manuel Turizo,colombian pop
Nicky Jam,latin
Alex Sensation,latin
Coral Cordobesa De Los Pedroches,villancicos
Linkin Park,alternative metal
Niall Horan,dance pop
Rae Sremmurd,hip hop
Alvaro Soler,latin pop
Camila Cabello,dance pop
MC Fioti,deep funk carioca
Nicky Jam,latin
Wisin,dance pop
Pitbull,dance pop
Romeo Santos,bachata
Bad Bunny,reggaeton
DJ Jonathan,
DJ Snake,dance pop
Elvis Presley,adult standards
OneRepublic,dance pop
Yandel,latin
Becky G,latin viral pop
Ed Sheeran,pop
Farruko,latin
Miley Cyrus,dance pop
Chyno Miranda,latin
Don Omar,latin
Joaquín Sabina,cantautor
Pablo Alborán,latin
Sia,australian dance
Ed Sheeran,pop
Zara Larsson,dance pop
Gente De Zona,cubaton
Michael Bublé,adult standards
The Chainsmokers,edm
Calvin Harris,edm
CNCO,boy band
Ha*Ash,latin
Juanes,colombian pop
Los Cantaseries,villancicos
Kungs,deep house
Linkin Park,alternative metal
Major Lazer,dance pop
MC Fioti,deep funk carioca
Linkin Park,alternative metal
Manuel Medrano,colombian pop
Michael Bublé,adult standards
Bad Bunny,reggaeton
Maroon 5,pop
Shakira,colombian pop
BTS,k-pop
Julia Michaels,dance pop
Karol G,reggaeton
La Máquina Camaleón,ecuadoria
La Sonora Dinamita,cumbia
Mambo Kingz,reggaeton flow
Lukas Graham,danish pop
Fifth Harmony,dance pop
Justin Bieber,canadian pop
Ozuna,reggaeton
Yandel,latin
ZAYN,dance pop
Coldplay,permanent wave
Don Omar,latin
Manuel Medrano,colombian pop
Movimiento Ciudadano,
Yandel,latin
Gorillaz,alternative hip hop
Maroon 5,pop
Reik,latin
Adele,pop
Bruno Mars,dance pop
Carlos Baute,cumbia
Ed Sheeran,pop
Imagine Dragons,modern rock
Juanes,colombian pop
La Máquina Camaleón,ecuadoria
Villancicos,
Cosculluela,latin
Juan Magán,dance pop
Juanes,colombian pop
Major Lazer,dance pop
Chris Jeday,latin
Elvis Crespo,latin
La Máquina Camaleón,ecuadoria
Taylor Swift,dance pop
BTS,k-pop
Farruko,latin
French Montana,hip hop
Karol G,reggaeton
Luis Miguel,bolero
Prince Royce,bachata
Ed Sheeran,pop
Frank Sinatra,adult standards
Harry Styles,dance pop
Jesse & Joy,latin
Linkin Park,alternative metal
CNCO,boy band
Hailee Steinfeld,dance pop
La Máquina Camaleón,ecuadoria
Natalia Lafourcade,latin alternative
Romeo Santos,bachata
Alok,brazilian electronica
Ariana Grande,dance pop
Imix Children's Choir,
Joey Montana,dance pop
Luny Tunes,latin
Natalia Lafourcade,latin alternative
Ed Sheeran,pop
Jencarlos,latin
Katy Perry,dance pop
Mon Laferte,latin alternative
Nacho,dance pop
Fifth Harmony,dance pop
Jencarlos,latin
John Legend,neo soul
La Máquina Camaleón,ecuadoria
Ozuna,reggaeton
Yandel,latin
Bacilos,colombian pop
Michael Bublé,adult standards
Alejandro Fernandez,grupera
Cali Y El Dandee,champeta
Calvin Harris,edm
Deorro,big room
Silvestre Dangond,colombian pop
Axwell /\ Ingrosso,big room
Katy Perry,dance pop
Mon Laferte,latin alternative
The Chainsmokers,edm
The Vamps,boy band
Calvin Harris,edm
Enzo Ortiz,
Lady Gaga,dance pop
Linkin Park,alternative metal
Enrique Iglesias,dance pop
J Balvin,latin
Linkin Park,alternative metal
Major Lazer,dance pop
Marc Anthony,latin
Anuel Aa,reggaeton flow
BTS,k-pop
Carlos Vives,champeta
Grupo Infantil Guarderia Pon,musica para ninos
Reykon,latin
Arcangel,latin
Camila Cabello,dance pop
Carlos Vives,champeta
The Vamps,boy band
BTS,k-pop
Imagine Dragons,modern rock
Imagine Dragons,modern rock
Justin Quiles,NA
Melendi,latin pop
Nacho,dance pop
Residente,venezuelan hip hop
Gente De Zona,cubaton
Villamizar,pop reggaeton
Villancicos,
Bruno Mars,dance pop
BTS,k-pop
Cali Y El Dandee,champeta
Harry Styles,dance pop
JAY Z,bulgarian hip hop
Jonas Blue,dance pop
Río Roma,latin
Anitta,baile pop
Bag Raiders,alternative dance
Linkin Park,alternative metal
Major Lazer,dance pop
Martin Jensen,big room
Silvestre Dangond,colombian pop
Zedd,complextro
Zion & Lennox,latin
Drake,canadian hip hop
Nacho,dance pop
Villancicos,
Ed Sheeran,pop
Justin Bieber,canadian pop
Ryan Gosling,hollywood
CNCO,boy band
Drake,canadian hip hop
La Máquina Camaleón,ecuadoria
Linkin Park,alternative metal
Marc Anthony,latin
Post Malone,pop
Yandel,latin
CNCO,boy band
Daddy Yankee,latin
Danny Ocean,latin
Major Lazer,dance pop
Maroon 5,pop
Ed Sheeran,pop
Luis Miguel,bolero
Niall Horan,dance pop
Puerto Rican Power,boogaloo
Shawn Mendes,canadian pop
Sin Bandera,latin
Coldplay,permanent wave
Farruko,latin
Karol G,reggaeton
Kesha,dance pop
Maluma,reggaeton
Morat,colombian pop
OneRepublic,dance pop
Adele,pop
Jax Jones,dance pop
Jonas Blue,dance pop
La Máquina Camaleón,ecuadoria
Paulina Rubio,dance pop
Billo's Caracas Boys,classic venezuelan pop
Brenda Lee,adult standards
Dasoul,latin
Feid,panamanian pop
Machine Gun Kelly,hip hop
Rvssian,italian hip hop
Bruno Mars,dance pop
Calvin Harris,edm
Eminem,detroit hip hop
James Arthur,dance pop
Lil Wayne,hip hop
Nicky Jam,latin
Calvin Harris,edm
El Vega,
Juanes,colombian pop
Niall Horan,dance pop
Zara Larsson,dance pop
Adele,pop
Charlie Puth,dance pop
Daddy Yankee,latin
John Lennon,album rock
Justin Bieber,canadian pop
Maroon 5,pop
Alan Walker,tropical house
Jason Mraz,acoustic pop
José Feliciano,latin pop
Kevin Roldan,latin
Major Lazer,dance pop
Morat,colombian pop
Romeo Santos,bachata
Soundgarden,alternative metal
Anitta,baile pop
Chayanne,latin
Chuck Berry,blues-rock
Feid,panamanian pop
G-Eazy,hip hop
Mark Ronson,dance pop
Mau y Ricky,latin
Reykon,latin
Ricky Martin,dance pop
Wisin,dance pop
,
Celia Cruz y La Sonora Matancera,
Juan Magán,dance pop
Luis Enrique,latin
Nacho,dance pop
ZAYN,dance pop
Jason Derulo,dance pop
Major Lazer,dance pop
Michael Bublé,adult standards
Niall Horan,dance pop
Ozuna,reggaeton
Charlie Puth,dance pop
Gorillaz,alternative hip hop
Imagine Dragons,modern rock
Mariah Carey,dance pop
Michael Bublé,adult standards
OMI,dance pop
OneRepublic,dance pop
Paulina Rubio,dance pop
Shakira,colombian pop
Taylor Swift,dance pop
Camila Cabello,dance pop
Drake,canadian hip hop
Foster The People,indie pop
Halsey,dance pop
Major Lazer,dance pop
Arcangel,latin
Guayacán Orquesta,boogaloo
Ha*Ash,latin
John Legend,neo soul
Manuel Medrano,colombian pop
Romeo Santos,bachata
Willie Colón,boogaloo
A Great Big World,neo mellow
Alessia Cara,canadian contemporary r&b
Clean Bandit,dance pop
Coldplay,permanent wave
Juan Magán,dance pop
Linkin Park,alternative metal
Melendi,latin pop
Morat,colombian pop
Rombai,cumbia pop
Romeo Santos,bachata
Shakira,colombian pop
Villancicos,
Yandel,latin
Fonseca,colombian pop
Jennifer Lopez,dance pop
Jonas Blue,dance pop
Lil Uzi Vert,philly rap
Lady Gaga,dance pop
Linkin Park,alternative metal
Los Cantaseries,villancicos
Marc Anthony,latin
Nevada,
Nicky Jam,latin
Paramore,candy pop
Bruno Mars,dance pop
Maroon 5,pop
Michael Bublé,adult standards
Morat,colombian pop
Romeo Santos,bachata
The Weeknd,canadian contemporary r&b
Bacilos,colombian pop
Cheat Codes,dance pop
Cosculluela,latin
J Balvin,latin
Luis Miguel,bolero
C. Tangana,trap espanol
Drake,canadian hip hop
Fonseca,colombian pop
Oscar D'León,boogaloo
Bad Bunny,reggaeton
Carlos Baute,cumbia
DNCE,dance pop
Halsey,dance pop
Julia Michaels,dance pop
La Rondallita,
Alex Sensation,latin
Chayanne,latin
Cheat Codes,dance pop
Don Miguelo,dembow
Ed Sheeran,pop
Harry Styles,dance pop
Jacob Forever,cubaton
Sam Smith,pop
Sebastian Yatra,colombian pop
Camila Cabello,dance pop
Eminem,detroit hip hop
J Balvin,latin
Jason Derulo,dance pop
Jax Jones,dance pop
Katy Perry,dance pop
Pablo Alborán,latin
Sanluis,pop reggaeton
Anuel Aa,reggaeton flow
Camila Cabello,dance pop
Dvicio,latin arena pop
Lilly Wood and The Prick,french indie pop
Marshmello,brostep
Martin Garrix,big room
Morat,colombian pop
Morat,colombian pop
Paty Cantú,dance pop
Plan B,latin
Ricardo Arjona,cantautor
BTS,k-pop
J Alvarez,latin
Justin Quiles,NA
Mariah Carey,dance pop
Noah Cyrus,dance pop
TINI,cumbia pop
Américo,chilean rock
BTS,k-pop
DJ Khaled,dance pop
DJ Snake,dance pop
Jennifer Lopez,dance pop
Jon Bellion,modern rock
Jory Boy,latin
Major Lazer,dance pop
Maluma,reggaeton
Manuel Medrano,colombian pop
Melendi,latin pop
Mike Bahía,colombian pop
Ozuna,reggaeton
Paty Cantú,dance pop
Silvestre Dangond,colombian pop
The Jackson 5,adult standards
Bruno Mars,dance pop
G-Eazy,hip hop
John Legend,neo soul
Kendrick Lamar,conscious hip hop
Milky Chance,german pop
Morat,colombian pop
Nicky Jam,latin
Queen,glam rock
Starley,aussietronica
Tiësto,big room
Brytiago,latin
Caramelos De Cianuro,pop reggaeton
Galantis,big room
Los De La Nazza,reggaeton flow
Macklemore,pop rap
Nfasis,dembow
Sin Bandera,latin
The Chainsmokers,edm
Ariana Grande,dance pop
Becky G,latin viral pop
Burak Yeter,electro house
Clean Bandit,dance pop
Drake,canadian hip hop
Karol G,reggaeton
MØ,dance pop
Maroon 5,pop
Sin Bandera,latin
Abraham Mateo,latin arena pop
Aerosmith,album rock
Alesso,big room
Avicii,big room
Axwell /\ Ingrosso,big room
Calle 13,latin
DNCE,dance pop
Dua Lipa,dance pop
Grupo Infantil Guarderia Pon,musica para ninos
Jencarlos,latin
KYLE,hip hop
Lord Huron,folk-pop
Macklemore & Ryan Lewis,dance pop
Piso 21,colombian pop
Prince Royce,bachata
Rombai,cumbia pop
Sam Smith,pop
Skrillex,brostep
Yandel,latin
Alan Walker,tropical house
De La Ghetto,latin
Fifth Harmony,NA
Fonseca,NA
French Montana,NA
Halsey,NA
Joe Arroyo,NA
Lil Uzi Vert,NA
Pitbull,NA
Robin Schulz,NA
Taylor Swift,NA
Yandel,NA
Alkilados,NA
CD9,NA
DJ Luian,NA
Justin Quiles,NA
Kygo,NA
Kygo,edm
Nfasis,dembow
Pablo Alborán,latin
The Police,album rock
Avicii,big room
Bruno Mars,dance pop
Coldplay,permanent wave
Joe Arroyo,cumbia
Lary Over,latin
Logic,conscious hip hop
Manuel Medrano,colombian pop
Manuel Turizo,colombian pop
Ozuna,NA
Río Roma,latin
Soda Stereo,argentine rock
Wolfine,colombian pop
Yandel,latin
Arcangel,latin
Bruno Mars,dance pop
Halsey,dance pop
Juanes,colombian pop
Mula,latintronica
Nicky Jam,latin
Oasis,britpop
Shawn Mendes,canadian pop
XXXTENTACION,emo rap
Alessia Cara,canadian contemporary r&b
Bad Bunny,reggaeton
French Montana,hip hop
Jon Z,reggaeton flow
Karol G,reggaeton
Kygo,edm
NF,hip hop
Nfasis,dembow
Ofenbach,tropical house
Sage The Gemini,dance pop
Bacilos,colombian pop
Bad Bunny,reggaeton
El Nene La amenaza,rap dominicano
G-Eazy,hip hop
Joey Montana,dance pop
Karol G,reggaeton
Lana Del Rey,pop
Manuel Medrano,colombian pop
Michael Jackson,pop
Mueka,reggaeton flow
Raphael,pop romantico
Rombai,cumbia pop
Vazquez Sounds,latin arena pop
Bruno Mars,dance pop
Bruno Martini,brazilian electronica
BTS,k-pop
Camila Cabello,dance pop
Capital Cities,alternative dance
J Balvin,latin
Jack Ü,edm
Leslie Grace,bachata
Luis Fonsi,dance pop
Natti Natasha,latin
Ozuna,NA
Ricardo Arjona,cantautor
Ricardo Montaner,latin
Robin Schulz,dance pop
Valentino,reggaeton
Yiyo Sarante,latin
Alexis y Fido,latin
Cashmere Cat,dance pop
Farruko,latin
Gilberto Santa Rosa,latin
Greeicy,colombian pop
Jon Z,reggaeton flow
Melendi,latin pop
Morat,colombian pop
OneRepublic,dance pop
Ozuna,reggaeton
P!nk,dance pop
Snova,
Yandel,latin
Bruno Mars,dance pop
Brytiago,latin
Christina Perri,dance pop
El Nene La amenaza,rap dominicano
Flo Rida,dance pop
gnash,dance pop
J Balvin,latin
Kygo,edm
Melendi,latin pop
Proyecto Uno,latin
Reik,latin
Rombai,cumbia pop
Silvestre Dangond,colombian pop
Tom & Collins,mexican edm
Wisin,dance pop
Ariana Grande,dance pop
Desiigner,hip hop
DJ Luian,reggaeton flow
Ed Sheeran,pop
Fleetwood Mac,album rock
Gorillaz,alternative hip hop
Jarabe De Palo,latin
Juanes,colombian pop
Justin Quiles,NA
La Sonora Dinamita,cumbia
Lil Pump,emo rap
Linkin Park,alternative metal
Maluma,reggaeton
MC Kevinho,deep funk carioca
Morat,colombian pop
Ozuna,reggaeton
Portugal. The Man,indie pop
Reik,latin
Sky,
Sofia Reyes,latin
Avicii,big room
Carlos Vives,champeta
ChiChi Peralta,cumbia
Dj Kass,chilean hardcore
Justin Quiles,NA
Manuel Medrano,colombian pop
Martin Garrix,big room
Nfasis,dembow
Ozuna,reggaeton
RedOne,
Reik,latin
Revol,latin
Shawn Mendes,canadian pop
Adele,pop
Andrés Calamaro,argentine rock
Anuel Aa,reggaeton flow
Bruno Mars,dance pop
Calvin Harris,edm
CNCO,boy band
Drake,canadian hip hop
Drake,canadian hip hop
Imagine Dragons,modern rock
Juanes,colombian pop
Lana Del Rey,pop
Macklemore,pop rap
Mario Bautista,latin
Natalia Lafourcade,latin alternative
Pitbull,dance pop
Sage The Gemini,dance pop
Sia,NA
Taylor Swift,dance pop
Taylor Swift,dance pop
Tito Nieves,boogaloo
Abraham Mateo,latin arena pop
AJR,modern rock
Bebe Rexha,dance pop
Coldplay,permanent wave
Dante Klein,deep big room
Dimitri Vegas & Like Mike,belgian dance
Gigolo Y La Exce,reggaeton flow
Jay Sean,australian pop
Jonas Blue,dance pop
Los Enanitos Verdes,argentine rock
Maluma,reggaeton
Melendi,latin pop
Noriel,latin
Ozuna,reggaeton
