Artist,Artist_Genres
Agapornis,cumbia pop
Cashmere Cat,dance pop
Coldplay,permanent wave
El Mato A Un Policia Motorizado,argentine alternative rock
Poncho,argentine indie
#TocoParaVos,cumbia pop
Callejeros,argentine rock
Dame 5,cumbia pop
La Cumbia,cumbia chilena
Luis Alberto Spinetta,argentine indie
Maluma,reggaeton
Rombai,cumbia pop
U2,irish rock
Catupecu Machu,argentine punk
Divididos,argentine rock
Duki,argentine hip hop
La Franela,argentine rock
DJ Tetraguy,rap dominicano
Luciano Pereyra,argentine telepop
Midel,argentine hip hop
Rombai,cumbia pop
VI-EM,cumbia pop
Benjamín Amadeo,argentine telepop
Las Pelotas,argentine rock
Maxi Trusso,argentine indie
Stanaj,post-teen pop
The Weeknd,canadian contemporary r&b
Zato DJ,
Abel Pintos,argentine rock
Coldplay,permanent wave
Dread Mar I,latin alternative
Guasones,argentine rock
Los Palmeras,argentine rock
Patricio Rey y sus Redonditos de Ricota,argentine rock
Walter Olmos,cuarteto
#TocoParaVos,cumbia pop
La Beriso,argentine rock
Rombai,cumbia pop
Abel Pintos,argentine rock
Arcangel,latin
Attaque 77,argentine punk
Callejeros,argentine rock
Guasones,argentine rock
Gustavo Cerati,argentine rock
Intoxicados,argentine rock
La Franela,argentine rock
La Renga,argentine rock
Paulo Londra,argentine hip hop
Pepe Quintana,latin
Soda Stereo,argentine rock
The Panas,cumbia pop
AX 13,cumbia pop
Bad Bunny,reggaeton
De La Ghetto,latin
Dua Lipa,dance pop
Las Pastillas del Abuelo,argentine rock
Paulo Londra,argentine hip hop
Agapornis,cumbia pop
Alcides,cumbia villera
Chayanne,NA
Ed Sheeran,NA
Jimena Baron,NA
Noriel,NA
Abel Pintos,NA
Atomic Otro Way,NA
Ciro y los Persas,NA
DJ Pirata,NA
Dua Lipa,NA
El Super Hobby,NA
El Villano,cumbia pop
Jory Boy,latin
Marshmello,brostep
Ozuna,NA
Rafaga,cumbia chilena
Ulises Bueno,cuarteto
#TocoParaVos,cumbia pop
Axel,argentine telepop
El Nene La amenaza,rap dominicano
Eloy,cumbia pop
Ozuna,NA
Pappo,argentine heavy metal
The Strokes,alternative rock
aLee DJ,cumbia pop
Alexio,reggaeton flow
Bad Bunny,reggaeton
Coldplay,permanent wave
DrefQuila,
Gorillaz,alternative hip hop
La Vela Puerca,cumbia pop
No Te Va Gustar,cumbia pop
No Te Va Gustar,cumbia pop
"Osmani Garcia ""La Voz""",cubaton
Ulises Bueno,cuarteto
Andrés Calamaro,argentine rock
Ariana Grande,dance pop
Bad Bunny,reggaeton
Coldplay,permanent wave
Farruko,latin
Lit Killah,argentine hip hop
No Te Va Gustar,cumbia pop
Pijama Party,cumbia pop
Coldplay,permanent wave
De La Calle,cumbia pop
Iggy Azalea,australian hip hop
Jimena Baron,argentine telepop
La Renga,argentine rock
Los Tipitos,argentine rock
Los Totora,cumbia pop
Los Turros,cumbia paraguaya
Paulo,argentine hip hop
Paulo Londra,argentine hip hop
Paulo Londra,argentine hip hop
Pijama Party,cumbia pop
Super Yei,reggaeton flow
Ulises Bueno,cuarteto
Dame 5,cumbia pop
Dayme y El High,reggaeton flow
DJ Yayo,argentine hip hop
Duki,
Duki,argentine hip hop
El Apache Ness,cumbia pop
Iacho,argentine hip hop
Jory Boy,latin
La Champions Liga,cumbia pop
Las Pelotas,argentine rock
Marama,cumbia pop
Paulo Londra,argentine hip hop
Pijama Party,cumbia pop
Wanda,austropop
Pizzera & Jaus,austropop
The Makemakes,eurovision
Kamaliya,
Bilderbuch,german indie
Wanda,austropop
Bilderbuch,german indie
Bilderbuch,german indie
Bilderbuch,german indie
Wanda,austropop
Bilderbuch,german indie
Bilderbuch,german indie
Bilderbuch,german indie
Kamaliya,
Bilderbuch,german indie
Pizzera & Jaus,austropop
Pizzera & Jaus,austropop
Bilderbuch,german indie
Wanda,austropop
Kamaliya,
Wanda,austropop
Bilderbuch,german indie
SEILER UND SPEER,NA
Kamaliya,
Wanda,austropop
RAF Camora,german hip hop
Pizzera & Jaus,austropop
Wanda,austropop
Pizzera & Jaus,austropop
Wanda,austropop
Pizzera & Jaus,austropop
Wanda,austropop
Marco Wagner,
James Hersey,
Pizzera & Jaus,austropop
Wanda,austropop
Cornerstone,
Drahdiwaberl,austropop
Falco,austropop
Wanda,austropop
The Tech Thieves,bass trap
Yung Hurn,german hip hop
Falco,NA
Hardwell,NA
filous,NA
Yung Hurn,NA
Falco,NA
CLAIRE,NA
Falco,NA
SRTW,NA
Ghosted,NA
Kamaliya,NA
Kamaliya,NA
Bon Iver,NA
Wanda,NA
Terror Jr,NA
Weihnachtslieder und Weihnachtsmusik,NA
Falco,NA
Novo Amor,chamber pop
Pentatonix,a cappella
Kyla La Grange,metropopolis
Leonard Pospichal,
Marcus Brodowski,
Pizzera & Jaus,austropop
Remy Cooper,
Pizzera & Jaus,austropop
SEILER UND SPEER,austropop
Leslie Clio,german pop
Lewis Capaldi,pop
Falco,austropop
Cro,german hip hop
Kiera Weathers,
Wanda,austropop
Falco,
Pizzera & Jaus,austropop
Falco,NA
Leo Stannard,indie anthem-folk
Omar Velasco,
Pizzera & Jaus,austropop
Sara Hartman,
Frances,indie anthem-folk
Griffin Stoller,
MKTO,australian pop
EDX,big room
Fanny Andersen,
Lydia Liza,
Parra for Cuva,deep tropical house
Cro,german hip hop
Gnarly Gibbs,
Lola Marsh,new americana
Kav Verhouzer,deep tropical house
Emily Roberts,
Goodluck,cape town indie
filous,deep house
Ingrid Michaelson,acoustic pop
Starley,aussietronica
Wanda,austropop
WHTKD,deep groove house
HEIN+KLEIN,
Heuse,tracestep
Mighty Oaks,german indie
Pizzera & Jaus,austropop
Rhys,indie cafe pop
Bishop Briggs,electropop
Tom Walker,indie anthem-folk
Griffin Stoller,
Left Boy,pop rap
LU2VYK,
MYNGA,deep house
Noah Kahan,australian pop
Charming Horses,deep house
Falco,austropop
Broken Back,deep tropical house
Money Boy,austrian hip hop
Rise Against,alternative metal
Grinch Hill,deep german hip hop
KsFreakWhatElse,
Mac Beez,
SEILER UND SPEER,austropop
Tagtraeumer,german pop
The Offspring,alternative metal
Yung Hurn,german hip hop
Goodluck,cape town indie
Portugal. The Man,indie pop
Wanda,austropop
Wanda,austropop
DEAMN,
FlowRag,
Lions Head,
Bahamas,chamber pop
Kelvin Jones,
Fancy Cars,progressive electro house
Yung Hurn,german hip hop
Allman Brown,acoustic pop
Austin Basham,chamber pop
JONAH,
Poptracker,
Sondr,
TJ_beastboy,deep german hip hop
Yung Hurn,german hip hop
blink-182,modern rock
Broken Back,deep tropical house
Daniela Andrade,viral pop
Marco Wagner,
Mighty Oaks,german indie
Annika Wells,
Nilüfer Yanya,
NLSN,
Rhys Lewis,australian pop
Synapson,french indie pop
Falco,NA
James Gillespie,indie anthem-folk
Marlon Roudette,
Pizzera & Jaus,austropop
Tagtraeumer,german pop
