"","Artist_Genres","Region_Name","Weekends","Weekday"
"1","432hz","Australia",1,0
"2","432hz","Czech Republic",0.335702746365105,0.664297253634895
"3","432hz","Switzerland",0,1
"4","a cappella","Australia",0.535949629735628,0.464050370264372
"5","a cappella","Austria",0.413007830266377,0.586992169733623
"6","a cappella","Belgium",0.679149305555556,0.320850694444444
"7","a cappella","Canada",0.382557768540218,0.617442231459782
"8","a cappella","Czech Republic",0.477987767921098,0.522012232078902
"9","a cappella","Denmark",0.796901893287435,0.203098106712565
"10","a cappella","Germany",0.454040185108682,0.545959814891319
"11","a cappella","Switzerland",0.474300225458038,0.525699774541962
"12","acid jazz","Austria",0,1
"13","acid jazz","Czech Republic",0,1
"14","acid jazz","Denmark",0,1
"15","acid jazz","Switzerland",0,1
"16","acoustic pop","Australia",0.338614845191215,0.661385154808785
"17","acoustic pop","Austria",0.687649151244991,0.312350848755009
"18","acoustic pop","Belgium",0.844637223974763,0.155362776025237
"19","acoustic pop","Colombia",0,1
"20","acoustic pop","Costa Rica",0.101786438126122,0.898213561873878
"21","acoustic pop","Czech Republic",0.605735805330243,0.394264194669757
"22","acoustic pop","Denmark",1,0
"23","acoustic pop","Germany",1,0
"24","acoustic pop","Switzerland",0.458318098720292,0.541681901279708
"25","adoracao","Brazil",0,1
"26","adult standards","Australia",0.479806727488189,0.520193272511811
"27","adult standards","Austria",0.601712336103709,0.398287663896291
"28","adult standards","Belgium",0.61244728472216,0.38755271527784
"29","adult standards","Bolivia",0,1
"30","adult standards","Brazil",0.653343664499099,0.346656335500901
"31","adult standards","Canada",0.404857776198741,0.595142223801259
"32","adult standards","Chile",0.101358760046109,0.898641239953891
"33","adult standards","Costa Rica",0.256815330215581,0.743184669784419
"34","adult standards","Czech Republic",0.50995986265321,0.49004013734679
"35","adult standards","Denmark",0.55394349686637,0.44605650313363
"36","adult standards","Germany",0.673239978491459,0.326760021508541
"37","adult standards","Switzerland",0.666365545217915,0.333634454782085
"38","afro house","Belgium",0.224886877828054,0.775113122171946
"39","afrobeats","Austria",0.105469545732328,0.894530454267672
"40","afrobeats","Belgium",0,1
"41","afrobeats","Canada",0.27928600441623,0.72071399558377
"42","afrobeats","Czech Republic",0.343334238392615,0.656665761607385
"43","afrobeats","Denmark",0,1
"44","afrobeats","Germany",0.217780763632292,0.782219236367708
"45","afrobeats","Switzerland",0.200812613169633,0.799187386830367
"46","albanian hip hop","Austria",0.271436814403148,0.728563185596852
"47","albanian hip hop","Denmark",0.185556235058653,0.814443764941347
"48","albanian hip hop","Germany",0.277120976916975,0.722879023083025
"49","albanian hip hop","Switzerland",0.258927842114277,0.741072157885723
"50","album rock","Argentina",0,1
"51","album rock","Australia",0.480258302306442,0.519741697693558
"52","album rock","Austria",0.459209490400474,0.540790509599526
"53","album rock","Belgium",0.437739715009017,0.562260284990983
"54","album rock","Brazil",0.191682831054549,0.808317168945451
"55","album rock","Canada",0.513583685996235,0.486416314003765
"56","album rock","Chile",0,1
"57","album rock","Colombia",0,1
"58","album rock","Costa Rica",0,1
"59","album rock","Czech Republic",0.330082970182728,0.669917029817272
"60","album rock","Denmark",0.475182138825901,0.524817861174099
"61","album rock","Germany",0.538438630312332,0.461561369687668
"62","album rock","Switzerland",0.566171529120859,0.433828470879141
"63","albuquerque indie","Czech Republic",0,1
"64","alternative country","Canada",0,1
"65","alternative dance","Australia",0.281456440940644,0.718543559059356
"66","alternative dance","Austria",0.281767806134888,0.718232193865112
"67","alternative dance","Belgium",0.181412092882992,0.818587907117008
"68","alternative dance","Canada",0,1
"69","alternative dance","Chile",0,1
"70","alternative dance","Colombia",0.230724851359797,0.769275148640203
"71","alternative dance","Czech Republic",0,1
"72","alternative dance","Denmark",0.21431967914684,0.78568032085316
"73","alternative dance","Germany",0.312094869441229,0.687905130558771
"74","alternative dance","Switzerland",0.227753342716397,0.772246657283603
"75","alternative hip hop","Argentina",0.19224679647313,0.80775320352687
"76","alternative hip hop","Australia",0.221635592341889,0.778364407658111
"77","alternative hip hop","Austria",0.157349730285127,0.842650269714873
"78","alternative hip hop","Belgium",0.166585674569988,0.833414325430011
"79","alternative hip hop","Bolivia",0,1
"80","alternative hip hop","Brazil",0,1
"81","alternative hip hop","Canada",0.274616935955398,0.725383064044602
"82","alternative hip hop","Chile",0,1
"83","alternative hip hop","Colombia",0.156074121270044,0.843925878729957
"84","alternative hip hop","Costa Rica",0.289988492520138,0.710011507479862
"85","alternative hip hop","Czech Republic",0.0856982092181231,0.914301790781877
"86","alternative hip hop","Denmark",0.0721077578333061,0.927892242166694
"87","alternative hip hop","Germany",0,1
"88","alternative hip hop","Switzerland",0,1
"89","alternative metal","Argentina",0.210605766618806,0.789394233381194
